,index,text_d_mkt_mean,text_d_mkt_std,text_d_mkt_min,text_d_mkt_p25,text_d_mkt_p50,text_d_mkt_p75,text_d_mkt_max
210,220,0.13502652116827282,0.0583932548730402,0.01655477285385132,0.09488596022129057,0.12286296486854553,0.16234445571899414,0.4204602837562561
211,221,0.1368278004901262,0.05950139117724917,0.01655477285385132,0.09539678692817688,0.12415099143981935,0.1657937467098236,0.4204602837562561
212,222,0.1380230047695968,0.0605645982153563,0.01655477285385132,0.0956474542617798,0.12477731704711915,0.16768419742584229,0.4268062710762024
213,223,0.13760069540272862,0.059901118035592116,0.01655477285385132,0.09580284357070923,0.12460839748382567,0.16688790917396545,0.4268062710762024
214,224,0.13812151486078092,0.059636434117495606,0.01655477285385132,0.0962681770324707,0.12550300359725952,0.1675620973110199,0.4268062710762024
215,225,0.13897704283346432,0.06015746839251749,0.01655477285385132,0.0965016335248947,0.12608224153518677,0.16911356151103973,0.4268062710762024
216,226,0.10131804716019403,0.02797988381513742,0.0679658055305481,0.08173799514770508,0.0955459475517273,0.10907655954360962,0.16178381443023682
217,227,0.10463987929480416,0.028209749538255755,0.0679658055305481,0.08265617489814758,0.09819859266281128,0.1207021474838257,0.16178381443023682
218,228,0.10780610475275251,0.02629021324300574,0.0679658055305481,0.08742010593414307,0.10790938138961792,0.12719489634037018,0.16178381443023682
219,229,0.11117159128189087,0.025716117913177256,0.0679658055305481,0.0915447473526001,0.11334991455078125,0.13024330139160156,0.16178381443023682
220,230,0.11608840227127075,0.02761459269162909,0.0679658055305481,0.0927836000919342,0.1148214340209961,0.13795244693756104,0.1741725206375122
221,232,0.12629642089207968,0.04846578716829215,0.07166194915771484,0.10738807916641235,0.14311420917510986,0.15361365675926208,0.1641131043434143
222,233,0.12244271238644917,0.04562478519545369,0.07166194915771484,0.08376935124397278,0.12048521637916565,0.1588633805513382,0.17883706092834473
223,234,0.16491479873657228,0.06741092369099982,0.07166194915771484,0.10917071998119354,0.17147508263587952,0.20480653643608093,0.2717317342758179
224,235,0.1721864172390529,0.05999514036149643,0.07166194915771484,0.13703610002994537,0.1641148030757904,0.1992968618869782,0.2986399531364441
225,236,0.144159503958442,0.061484768341846366,0.04745882749557495,0.09502139687538146,0.1391800045967102,0.17980413138866425,0.2986399531364441
226,237,0.13586406262366327,0.05885881804477455,0.04745882749557495,0.09029510617256165,0.12980562448501587,0.1663416028022766,0.2986399531364441
227,238,0.13728291988372804,0.05643533472623664,0.04745882749557495,0.0933634638786316,0.13484734296798706,0.16856670379638672,0.2986399531364441
228,239,0.1337564021348953,0.05564144214636246,0.04745882749557495,0.08989648520946503,0.12639516592025757,0.16394685208797458,0.2986399531364441
229,240,0.13104986662373824,0.05478616502484454,0.04745882749557495,0.08921360969543457,0.12219473719596863,0.15675123035907745,0.2986399531364441
230,241,0.12519557957063643,0.05413679260060673,0.04743742942810058,0.08010387420654297,0.1141785979270935,0.1510435938835144,0.2986399531364441
231,242,0.124868412080564,0.0539610639583507,0.04743742942810058,0.08024562895298004,0.11351701617240906,0.1504010260105133,0.2986399531364441
232,243,0.12331181991667975,0.05235726990217486,0.04743742942810058,0.08054634928703308,0.11140772700309753,0.14839737117290497,0.2986399531364441
233,244,0.12037638147829079,0.05105995400707086,0.04743742942810058,0.08053845167160034,0.10766786336898804,0.14591246843338013,0.2986399531364441
234,245,0.12196055710315705,0.051124816658771804,0.04743742942810058,0.08063691854476927,0.11022663116455078,0.14890851080417633,0.2986399531364441
235,246,0.13068726980496967,0.05052220834947301,0.045171260833740234,0.09220682084560394,0.1211221218109131,0.1603601574897766,0.3203681707382202
236,247,0.13170246943286884,0.049389017434773086,0.04306471347808838,0.09356683492660522,0.12544560432434082,0.16175881028175354,0.3203681707382202
237,248,0.13116778827116807,0.04892951772028584,0.04306471347808838,0.09347778558731078,0.12448260188102722,0.1607603281736374,0.3203681707382202
238,249,0.1300052295560422,0.04870618212230545,0.04306471347808838,0.09231656789779664,0.12303906679153442,0.15931174159049988,0.3203681707382202
239,250,0.12839823210915774,0.04858890406744035,0.03947436809539795,0.09098845720291139,0.12122207880020143,0.15625277161598206,0.3203681707382202
240,251,0.12718589588695642,0.048719313669642925,0.03947436809539795,0.08921651542186737,0.11983615159988403,0.15544560551643372,0.3203681707382202
241,252,0.125486402090858,0.048338169571782545,0.03947436809539795,0.08817723393440247,0.11810654401779175,0.15351900458335876,0.3203681707382202
242,253,0.1276524448107091,0.049022751986190084,0.03947436809539795,0.08917488157749177,0.12050989270210266,0.15682446956634521,0.3203681707382202
243,254,0.13107531998949923,0.05153284004234718,0.03947436809539795,0.09049327671527864,0.123822420835495,0.16411565244197845,0.3667798638343811
244,256,0.08118414878845215,,0.08118414878845215,0.08118414878845215,0.08118414878845215,0.08118414878845215,0.08118414878845215
245,257,0.09116246302922566,0.010053292927408284,0.08118414878845215,0.08609914779663086,0.09101414680480956,0.09615162014961241,0.10128909349441527
246,258,0.07548471291859944,0.020311222634276475,0.044396042823791504,0.06558902561664581,0.07627168297767639,0.0885566473007202,0.10128909349441527
247,259,0.08891171216964722,0.026667831361609957,0.044396042823791504,0.07325229048728941,0.08609914779663086,0.10367125272750854,0.1335809826850891
248,260,0.09426203568776449,0.024728918714410388,0.044396042823791504,0.07931816577911377,0.0988420844078064,0.10941767692565918,0.1335809826850891
249,261,0.09440639813741049,0.02502922760527367,0.044396042823791504,0.0791124701499939,0.09101414680480956,0.105019211769104,0.15271097421646118
250,262,0.09123756343668157,0.025427421602447497,0.03980326652526856,0.07858863472938538,0.08783847093582152,0.10437577962875366,0.15271097421646118
251,263,0.10553956202098301,0.03270659497416949,0.03980326652526856,0.08118414878845215,0.10271847248077393,0.1219502091407776,0.19747620820999146
252,264,0.10334595988194148,0.03247683692230122,0.03980326652526856,0.07965484261512756,0.09952360391616821,0.11882933974266051,0.19747620820999146
